step,episode,episode_reward,env,seed,agent
0,0,0.0,ball_in_cup_catch,1,DrQ
10000,10,0.0,ball_in_cup_catch,1,DrQ
20000,20,0.0,ball_in_cup_catch,1,DrQ
30000,30,412.3,ball_in_cup_catch,1,DrQ
40000,40,196.5,ball_in_cup_catch,1,DrQ
50000,50,624.3,ball_in_cup_catch,1,DrQ
60000,60,859.0,ball_in_cup_catch,1,DrQ
70000,70,935.9,ball_in_cup_catch,1,DrQ
80000,80,966.2,ball_in_cup_catch,1,DrQ
90000,90,950.9,ball_in_cup_catch,1,DrQ
100000,100,962.5,ball_in_cup_catch,1,DrQ
110000,110,963.9,ball_in_cup_catch,1,DrQ
120000,120,947.1,ball_in_cup_catch,1,DrQ
130000,130,964.7,ball_in_cup_catch,1,DrQ
140000,140,956.6,ball_in_cup_catch,1,DrQ
150000,150,967.5,ball_in_cup_catch,1,DrQ
160000,160,976.3,ball_in_cup_catch,1,DrQ
170000,170,959.1,ball_in_cup_catch,1,DrQ
180000,180,959.7,ball_in_cup_catch,1,DrQ
190000,190,972.4,ball_in_cup_catch,1,DrQ
200000,200,967.2,ball_in_cup_catch,1,DrQ
210000,210,955.2,ball_in_cup_catch,1,DrQ
220000,220,965.5,ball_in_cup_catch,1,DrQ
230000,230,959.9,ball_in_cup_catch,1,DrQ
240000,240,957.3,ball_in_cup_catch,1,DrQ
250000,250,977.3,ball_in_cup_catch,1,DrQ
260000,260,960.7,ball_in_cup_catch,1,DrQ
270000,270,973.6,ball_in_cup_catch,1,DrQ
280000,280,968.6,ball_in_cup_catch,1,DrQ
290000,290,954.2,ball_in_cup_catch,1,DrQ
300000,300,932.9,ball_in_cup_catch,1,DrQ
310000,310,966.1,ball_in_cup_catch,1,DrQ
320000,320,967.3,ball_in_cup_catch,1,DrQ
330000,330,966.1,ball_in_cup_catch,1,DrQ
340000,340,961.3,ball_in_cup_catch,1,DrQ
350000,350,971.9,ball_in_cup_catch,1,DrQ
360000,360,973.2,ball_in_cup_catch,1,DrQ
370000,370,962.5,ball_in_cup_catch,1,DrQ
380000,380,963.4,ball_in_cup_catch,1,DrQ
390000,390,972.4,ball_in_cup_catch,1,DrQ
400000,400,973.9,ball_in_cup_catch,1,DrQ
410000,410,962.1,ball_in_cup_catch,1,DrQ
420000,420,966.7,ball_in_cup_catch,1,DrQ
430000,430,961.0,ball_in_cup_catch,1,DrQ
440000,440,973.2,ball_in_cup_catch,1,DrQ
450000,450,958.8,ball_in_cup_catch,1,DrQ
460000,460,979.2,ball_in_cup_catch,1,DrQ
470000,470,964.2,ball_in_cup_catch,1,DrQ
480000,480,964.9,ball_in_cup_catch,1,DrQ
490000,490,975.1,ball_in_cup_catch,1,DrQ
500000,500,974.3,ball_in_cup_catch,1,DrQ
510000,510,955.9,ball_in_cup_catch,1,DrQ
520000,520,963.1,ball_in_cup_catch,1,DrQ
530000,530,962.3,ball_in_cup_catch,1,DrQ
540000,540,950.4,ball_in_cup_catch,1,DrQ
550000,550,976.3,ball_in_cup_catch,1,DrQ
560000,560,970.7,ball_in_cup_catch,1,DrQ
570000,570,970.5,ball_in_cup_catch,1,DrQ
580000,580,954.0,ball_in_cup_catch,1,DrQ
590000,590,982.4,ball_in_cup_catch,1,DrQ
600000,600,967.7,ball_in_cup_catch,1,DrQ
610000,610,964.2,ball_in_cup_catch,1,DrQ
620000,620,968.1,ball_in_cup_catch,1,DrQ
630000,630,960.9,ball_in_cup_catch,1,DrQ
640000,640,968.1,ball_in_cup_catch,1,DrQ
650000,650,975.0,ball_in_cup_catch,1,DrQ
660000,660,976.1,ball_in_cup_catch,1,DrQ
670000,670,962.1,ball_in_cup_catch,1,DrQ
680000,680,969.7,ball_in_cup_catch,1,DrQ
690000,690,963.2,ball_in_cup_catch,1,DrQ
700000,700,970.0,ball_in_cup_catch,1,DrQ
710000,710,981.8,ball_in_cup_catch,1,DrQ
720000,720,951.9,ball_in_cup_catch,1,DrQ
730000,730,981.3,ball_in_cup_catch,1,DrQ
740000,740,974.8,ball_in_cup_catch,1,DrQ
750000,750,967.7,ball_in_cup_catch,1,DrQ
760000,760,960.4,ball_in_cup_catch,1,DrQ
770000,770,939.4,ball_in_cup_catch,1,DrQ
780000,780,976.5,ball_in_cup_catch,1,DrQ
790000,790,983.8,ball_in_cup_catch,1,DrQ
800000,800,956.5,ball_in_cup_catch,1,DrQ
810000,810,969.9,ball_in_cup_catch,1,DrQ
820000,820,977.6,ball_in_cup_catch,1,DrQ
830000,830,973.6,ball_in_cup_catch,1,DrQ
840000,840,970.8,ball_in_cup_catch,1,DrQ
850000,850,965.8,ball_in_cup_catch,1,DrQ
860000,860,971.8,ball_in_cup_catch,1,DrQ
870000,870,973.2,ball_in_cup_catch,1,DrQ
880000,880,971.2,ball_in_cup_catch,1,DrQ
890000,890,968.2,ball_in_cup_catch,1,DrQ
900000,900,980.3,ball_in_cup_catch,1,DrQ
910000,910,971.9,ball_in_cup_catch,1,DrQ
920000,920,975.8,ball_in_cup_catch,1,DrQ
930000,930,983.5,ball_in_cup_catch,1,DrQ
940000,940,971.9,ball_in_cup_catch,1,DrQ
950000,950,979.6,ball_in_cup_catch,1,DrQ
960000,960,981.0,ball_in_cup_catch,1,DrQ
970000,970,967.3,ball_in_cup_catch,1,DrQ
980000,980,967.5,ball_in_cup_catch,1,DrQ
990000,990,982.9,ball_in_cup_catch,1,DrQ
1000000,1000,974.1,ball_in_cup_catch,1,DrQ
1010000,1010,984.6,ball_in_cup_catch,1,DrQ
1020000,1020,992.1,ball_in_cup_catch,1,DrQ
1030000,1030,976.0,ball_in_cup_catch,1,DrQ
1040000,1040,951.7,ball_in_cup_catch,1,DrQ
1050000,1050,975.3,ball_in_cup_catch,1,DrQ
1060000,1060,978.2,ball_in_cup_catch,1,DrQ
1070000,1070,980.8,ball_in_cup_catch,1,DrQ
1080000,1080,961.8,ball_in_cup_catch,1,DrQ
1090000,1090,978.0,ball_in_cup_catch,1,DrQ
1100000,1100,963.3,ball_in_cup_catch,1,DrQ
1110000,1110,971.8,ball_in_cup_catch,1,DrQ
1120000,1120,981.2,ball_in_cup_catch,1,DrQ
1130000,1130,986.2,ball_in_cup_catch,1,DrQ
1140000,1140,978.4,ball_in_cup_catch,1,DrQ
1150000,1150,976.5,ball_in_cup_catch,1,DrQ
1160000,1160,970.6,ball_in_cup_catch,1,DrQ
1170000,1170,977.1,ball_in_cup_catch,1,DrQ
1180000,1180,976.2,ball_in_cup_catch,1,DrQ
1190000,1190,977.8,ball_in_cup_catch,1,DrQ
1200000,1200,981.7,ball_in_cup_catch,1,DrQ
1210000,1210,973.9,ball_in_cup_catch,1,DrQ
1220000,1220,983.5,ball_in_cup_catch,1,DrQ
1230000,1230,972.6,ball_in_cup_catch,1,DrQ
1240000,1240,970.9,ball_in_cup_catch,1,DrQ
1250000,1250,984.2,ball_in_cup_catch,1,DrQ
1260000,1260,986.9,ball_in_cup_catch,1,DrQ
1270000,1270,965.8,ball_in_cup_catch,1,DrQ
1280000,1280,975.5,ball_in_cup_catch,1,DrQ
1290000,1290,980.1,ball_in_cup_catch,1,DrQ
1300000,1300,980.4,ball_in_cup_catch,1,DrQ
1310000,1310,975.6,ball_in_cup_catch,1,DrQ
1320000,1320,955.7,ball_in_cup_catch,1,DrQ
1330000,1330,985.6,ball_in_cup_catch,1,DrQ
1340000,1340,967.7,ball_in_cup_catch,1,DrQ
1350000,1350,980.0,ball_in_cup_catch,1,DrQ
1360000,1360,974.2,ball_in_cup_catch,1,DrQ
1370000,1370,977.7,ball_in_cup_catch,1,DrQ
1380000,1380,981.5,ball_in_cup_catch,1,DrQ
1390000,1390,979.8,ball_in_cup_catch,1,DrQ
1400000,1400,980.7,ball_in_cup_catch,1,DrQ
1410000,1410,974.8,ball_in_cup_catch,1,DrQ
1420000,1420,967.3,ball_in_cup_catch,1,DrQ
1430000,1430,975.2,ball_in_cup_catch,1,DrQ
1440000,1440,969.8,ball_in_cup_catch,1,DrQ
1450000,1450,977.8,ball_in_cup_catch,1,DrQ
1460000,1460,976.7,ball_in_cup_catch,1,DrQ
1470000,1470,976.2,ball_in_cup_catch,1,DrQ
1480000,1480,983.0,ball_in_cup_catch,1,DrQ
1490000,1490,974.1,ball_in_cup_catch,1,DrQ
1500000,1500,981.2,ball_in_cup_catch,1,DrQ
1510000,1510,976.7,ball_in_cup_catch,1,DrQ
1520000,1520,976.0,ball_in_cup_catch,1,DrQ
1530000,1530,950.6,ball_in_cup_catch,1,DrQ
1540000,1540,968.1,ball_in_cup_catch,1,DrQ
1550000,1550,970.5,ball_in_cup_catch,1,DrQ
1560000,1560,982.6,ball_in_cup_catch,1,DrQ
1570000,1570,965.5,ball_in_cup_catch,1,DrQ
1580000,1580,988.7,ball_in_cup_catch,1,DrQ
1590000,1590,975.3,ball_in_cup_catch,1,DrQ
1600000,1600,976.9,ball_in_cup_catch,1,DrQ
1610000,1610,974.0,ball_in_cup_catch,1,DrQ
1620000,1620,970.6,ball_in_cup_catch,1,DrQ
1630000,1630,983.3,ball_in_cup_catch,1,DrQ
1640000,1640,985.4,ball_in_cup_catch,1,DrQ
1650000,1650,966.9,ball_in_cup_catch,1,DrQ
